STATUS,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,Labels,AGE
0,F,N,Y,0.0,283500.0,Pensioner,Higher education,Separated,House / apartment,-22464.0,3860.5,1,0.0,0.0,1.0,1,61.54520548
X,F,N,Y,0.0,283500.0,Pensioner,Higher education,Separated,House / apartment,-22464.0,3860.5,1,0.0,0.0,1.0,1,61.54520548
0,M,Y,Y,0.0,270000.0,Working,Higher education,Married,House / apartment,-16872.0,-769.0,1,0.0,0.0,0.0,0,46.22465753
X,M,Y,Y,0.0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778.0,-1194.0,1,0.0,0.0,8.0,0,48.70684932
0,M,Y,Y,0.0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778.0,-1194.0,1,0.0,0.0,8.0,0,48.70684932
0,F,Y,N,0.0,130500.0,Working,Incomplete higher,Married,House / apartment,-10669.0,-1103.0,1,0.0,0.0,0.0,0,29.23013699
1,F,Y,N,0.0,130500.0,Working,Incomplete higher,Married,House / apartment,-10669.0,-1103.0,1,0.0,0.0,0.0,0,29.23013699
C,F,Y,N,0.0,130500.0,Working,Incomplete higher,Married,House / apartment,-10669.0,-1103.0,1,0.0,0.0,0.0,0,29.23013699
C,M,Y,Y,0.0,180000.0,Pensioner,Higher education,Married,House / apartment,-18772.0,3860.5,1,0.0,0.0,1.0,1,51.43013699
5,M,Y,Y,0.0,180000.0,Pensioner,Higher education,Married,House / apartment,-18772.0,3860.5,1,0.0,0.0,1.0,1,51.43013699
4,M,Y,Y,0.0,180000.0,Pensioner,Higher education,Married,House / apartment,-18772.0,3860.5,1,0.0,0.0,1.0,1,51.43013699
3,M,Y,Y,0.0,180000.0,Pensioner,Higher education,Married,House / apartment,-18772.0,3860.5,1,0.0,0.0,1.0,1,51.43013699
2,M,Y,Y,0.0,180000.0,Pensioner,Higher education,Married,House / apartment,-18772.0,3860.5,1,0.0,0.0,1.0,1,51.43013699
1,M,Y,Y,0.0,180000.0,Pensioner,Higher education,Married,House / apartment,-18772.0,3860.5,1,0.0,0.0,1.0,1,51.43013699
0,M,Y,Y,0.0,180000.0,Pensioner,Higher education,Married,House / apartment,-18772.0,3860.5,1,0.0,0.0,1.0,1,51.43013699
C,F,N,Y,0.0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10031.0,-1469.0,1,0.0,0.0,8.0,0,27.48219178
0,F,N,Y,0.0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10031.0,-1469.0,1,0.0,0.0,8.0,0,27.48219178
1,F,N,Y,0.0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10031.0,-1469.0,1,0.0,0.0,8.0,0,27.48219178
X,F,N,Y,0.0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10031.0,-1469.0,1,0.0,0.0,8.0,0,27.48219178
C,F,N,Y,1.0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10968.0,-1620.0,1,0.0,0.0,8.0,0,30.04931507
0,F,N,Y,1.0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10968.0,-1620.0,1,0.0,0.0,8.0,0,30.04931507
X,F,N,Y,1.0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10968.0,-1620.0,1,0.0,0.0,8.0,0,30.04931507
C,M,Y,Y,2.5,270000.0,Working,Secondary / secondary special,Married,House / apartment,-12689.0,-1163.0,1,0.0,0.0,8.0,0,34.76438356
0,M,Y,Y,2.5,270000.0,Working,Secondary / secondary special,Married,House / apartment,-12689.0,-1163.0,1,0.0,0.0,8.0,0,34.76438356
X,M,N,Y,1.0,380250.0,Commercial associate,Higher education,Married,House / apartment,-11842.0,-2016.0,1,0.0,0.0,10.0,2,32.44383562
0,M,N,Y,1.0,380250.0,Commercial associate,Higher education,Married,House / apartment,-11842.0,-2016.0,1,0.0,0.0,10.0,2,32.44383562
C,M,N,Y,1.0,380250.0,Commercial associate,Higher education,Married,House / apartment,-11842.0,-2016.0,1,0.0,0.0,10.0,2,32.44383562
C,M,Y,Y,0.0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502.0,-4450.0,1,0.0,0.0,4.0,0,56.16986301
0,M,Y,Y,0.0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502.0,-4450.0,1,0.0,0.0,4.0,0,56.16986301
X,M,Y,Y,0.0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502.0,-4450.0,1,0.0,0.0,4.0,0,56.16986301
0,F,Y,Y,2.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761.0,-3173.0,1,0.0,0.0,8.0,0,43.18082192
C,F,Y,Y,2.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761.0,-3173.0,1,0.0,0.0,8.0,0,43.18082192
X,F,Y,Y,2.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761.0,-3173.0,1,0.0,0.0,8.0,0,43.18082192
0,F,N,Y,1.0,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16212.0,-7099.0,1,0.0,0.0,3.0,0,44.41643836
0,M,Y,Y,0.0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16670.0,-5364.0,1,0.0,0.0,16.0,2,45.67123288
1,M,Y,Y,0.0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16670.0,-5364.0,1,0.0,0.0,16.0,2,45.67123288
X,M,Y,Y,0.0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16670.0,-5364.0,1,0.0,0.0,16.0,2,45.67123288
C,F,N,Y,2.0,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411.0,-1773.0,1,0.0,0.0,10.0,0,34.00273973
0,F,N,Y,2.0,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411.0,-1773.0,1,0.0,0.0,10.0,0,34.00273973
1,F,N,Y,2.0,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411.0,-1773.0,1,0.0,0.0,10.0,0,34.00273973
C,F,N,Y,0.0,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-20186.0,3860.5,1,0.0,0.0,1.0,1,55.30410959
X,F,N,Y,0.0,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-20186.0,3860.5,1,0.0,0.0,1.0,1,55.30410959
0,F,N,Y,0.0,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-20186.0,3860.5,1,0.0,0.0,1.0,1,55.30410959
X,F,N,Y,0.0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,-17016.0,-1347.0,1,0.0,0.0,3.0,0,46.61917808
0,F,N,Y,0.0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,-17016.0,-1347.0,1,0.0,0.0,3.0,0,46.61917808
C,F,N,Y,0.0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519.0,-3234.0,1,0.0,0.0,8.0,2,42.51780822
0,F,N,Y,0.0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519.0,-3234.0,1,0.0,0.0,8.0,2,42.51780822
1,F,N,Y,0.0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519.0,-3234.0,1,0.0,0.0,8.0,2,42.51780822
X,F,N,Y,0.0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519.0,-3234.0,1,0.0,0.0,8.0,2,42.51780822
X,F,N,N,0.0,157500.0,Commercial associate,Higher education,Married,House / apartment,-13642.0,-4846.0,1,0.0,0.0,6.0,0,37.37534247
0,F,N,N,0.0,157500.0,Commercial associate,Higher education,Married,House / apartment,-13642.0,-4846.0,1,0.0,0.0,6.0,0,37.37534247
1,F,N,N,0.0,157500.0,Commercial associate,Higher education,Married,House / apartment,-13642.0,-4846.0,1,0.0,0.0,6.0,0,37.37534247
X,M,N,Y,0.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15484.0,-1408.0,1,0.0,0.0,4.0,0,42.42191781
C,M,N,Y,1.0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-10321.0,-2808.0,1,0.0,0.0,3.0,0,28.27671233
0,M,N,Y,1.0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-10321.0,-2808.0,1,0.0,0.0,3.0,0,28.27671233
X,M,N,Y,1.0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-10321.0,-2808.0,1,0.0,0.0,3.0,0,28.27671233
0,F,Y,Y,0.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785.0,-1712.0,1,0.0,0.0,8.0,0,48.7260274
C,F,Y,Y,0.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785.0,-1712.0,1,0.0,0.0,8.0,0,48.7260274
X,F,Y,Y,0.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785.0,-1712.0,1,0.0,0.0,8.0,0,48.7260274
0,M,N,Y,0.0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16027.0,-889.0,1,0.0,0.0,3.0,0,43.90958904
1,M,N,Y,0.0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16027.0,-889.0,1,0.0,0.0,3.0,0,43.90958904
X,M,N,Y,0.0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16027.0,-889.0,1,0.0,0.0,3.0,0,43.90958904
0,F,N,Y,0.0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22319.0,3860.5,1,0.0,0.0,1.0,1,61.14794521
X,F,N,Y,0.0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22319.0,3860.5,1,0.0,0.0,1.0,1,61.14794521
1,F,N,Y,0.0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22319.0,3860.5,1,0.0,0.0,1.0,1,61.14794521
C,F,N,Y,0.0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22319.0,3860.5,1,0.0,0.0,1.0,1,61.14794521
X,M,Y,Y,0.0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-20874.0,-2381.0,1,0.0,0.0,4.0,0,57.1890411
C,M,Y,Y,0.0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-20874.0,-2381.0,1,0.0,0.0,4.0,0,57.1890411
0,M,Y,Y,0.0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-20874.0,-2381.0,1,0.0,0.0,4.0,0,57.1890411
X,F,Y,Y,0.0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-16582.0,-1194.0,1,0.0,0.0,1.0,0,45.43013699
0,F,Y,Y,0.0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-16582.0,-1194.0,1,0.0,0.0,1.0,0,45.43013699
C,F,Y,Y,0.0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-16582.0,-1194.0,1,0.0,0.0,1.0,0,45.43013699
X,F,Y,Y,0.0,270000.0,Working,Higher education,Married,House / apartment,-10628.0,-828.0,1,0.0,0.0,10.0,0,29.11780822
C,M,Y,Y,0.0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-9927.0,-828.0,1,0.0,0.0,4.0,0,27.19726027
0,M,Y,Y,0.0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-9927.0,-828.0,1,0.0,0.0,4.0,0,27.19726027
X,M,N,Y,0.0,166500.0,Working,Secondary / secondary special,Married,House / apartment,-18926.0,-6276.0,1,0.0,0.0,8.0,0,51.85205479
0,M,N,Y,0.0,166500.0,Working,Secondary / secondary special,Married,House / apartment,-18926.0,-6276.0,1,0.0,0.0,8.0,0,51.85205479
C,F,N,Y,2.0,216000.0,State servant,Higher education,Married,House / apartment,-15444.0,-3112.0,1,0.0,0.0,8.0,0,42.31232877
0,F,N,Y,2.0,216000.0,State servant,Higher education,Married,House / apartment,-15444.0,-3112.0,1,0.0,0.0,8.0,0,42.31232877
X,F,N,Y,2.0,216000.0,State servant,Higher education,Married,House / apartment,-15444.0,-3112.0,1,0.0,0.0,8.0,0,42.31232877
0,F,Y,Y,0.0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19861.0,-7583.5,1,0.0,0.0,8.0,0,54.41369863
X,F,Y,Y,0.0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19861.0,-7583.5,1,0.0,0.0,8.0,0,54.41369863
X,F,Y,Y,0.0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14450.0,-2777.0,1,0.0,0.0,8.0,0,39.5890411
0,F,Y,Y,0.0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14450.0,-2777.0,1,0.0,0.0,8.0,0,39.5890411
1,F,Y,Y,0.0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14450.0,-2777.0,1,0.0,0.0,8.0,0,39.5890411
C,F,Y,Y,0.0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14450.0,-2777.0,1,0.0,0.0,8.0,0,39.5890411
C,F,N,Y,0.0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10554.0,-1194.0,1,0.0,0.0,0.0,2,28.91506849
X,F,N,Y,0.0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10554.0,-1194.0,1,0.0,0.0,0.0,2,28.91506849
0,F,N,Y,0.0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10554.0,-1194.0,1,0.0,0.0,0.0,2,28.91506849
X,F,N,N,0.0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,-18682.0,3860.5,1,0.0,0.0,1.0,1,51.18356164
0,F,N,N,0.0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,-18682.0,3860.5,1,0.0,0.0,1.0,1,51.18356164
C,F,N,N,0.0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,-18682.0,3860.5,1,0.0,0.0,1.0,1,51.18356164
C,F,N,Y,2.0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14326.0,-555.0,1,0.0,0.0,3.0,0,39.24931507
X,F,N,Y,2.0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14326.0,-555.0,1,0.0,0.0,3.0,0,39.24931507
0,F,N,Y,2.0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14326.0,-555.0,1,0.0,0.0,3.0,0,39.24931507
X,F,N,Y,0.0,148500.0,Working,Higher education,Married,House / apartment,-17641.0,-889.0,1,0.0,0.0,3.0,0,48.33150685
0,F,N,Y,0.0,148500.0,Working,Higher education,Married,House / apartment,-17641.0,-889.0,1,0.0,0.0,3.0,0,48.33150685
1,F,N,Y,0.0,148500.0,Working,Higher education,Married,House / apartment,-17641.0,-889.0,1,0.0,0.0,3.0,0,48.33150685
C,F,N,Y,2.0,202500.0,Working,Higher education,Married,House / apartment,-10997.0,-2289.0,1,0.0,0.0,3.0,0,30.12876712
0,F,N,Y,2.0,202500.0,Working,Higher education,Married,House / apartment,-10997.0,-2289.0,1,0.0,0.0,3.0,0,30.12876712
1,F,N,Y,2.0,202500.0,Working,Higher education,Married,House / apartment,-10997.0,-2289.0,1,0.0,0.0,3.0,0,30.12876712
X,F,N,Y,2.0,202500.0,Working,Higher education,Married,House / apartment,-10997.0,-2289.0,1,0.0,0.0,3.0,0,30.12876712
0,M,N,Y,0.0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8861.0,-889.0,1,0.0,0.0,4.0,0,24.27671233
X,F,Y,Y,0.0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-7489.0,-797.0,1,0.0,0.0,12.0,0,20.51780822
0,F,N,Y,0.0,94500.0,Pensioner,Higher education,Married,House / apartment,-22331.0,3860.5,1,0.0,0.0,1.0,1,61.18082192
C,M,Y,Y,0.0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450.0,-2077.0,1,0.0,0.0,14.0,2,28.63013699
0,M,Y,Y,0.0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450.0,-2077.0,1,0.0,0.0,14.0,2,28.63013699
X,M,Y,Y,0.0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450.0,-2077.0,1,0.0,0.0,14.0,2,28.63013699
C,F,Y,Y,0.0,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,-10264.0,-3173.0,1,0.0,0.0,6.0,0,28.12054795
0,F,Y,Y,0.0,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,-10264.0,-3173.0,1,0.0,0.0,6.0,0,28.12054795
X,F,Y,Y,0.0,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,-10264.0,-3173.0,1,0.0,0.0,6.0,0,28.12054795
0,F,Y,Y,1.0,380250.0,State servant,Higher education,Married,House / apartment,-17726.0,-708.0,1,0.0,0.0,3.0,2,48.56438356
X,F,Y,Y,1.0,380250.0,State servant,Higher education,Married,House / apartment,-17726.0,-708.0,1,0.0,0.0,3.0,2,48.56438356
C,M,N,Y,1.0,180000.0,Working,Secondary / secondary special,Married,With parents,-14122.0,-1286.0,1,0.0,0.0,4.0,0,38.69041096
0,M,N,Y,1.0,180000.0,Working,Secondary / secondary special,Married,With parents,-14122.0,-1286.0,1,0.0,0.0,4.0,0,38.69041096
C,F,N,Y,0.0,112500.0,Working,Higher education,Civil marriage,House / apartment,-10064.0,-3173.0,1,0.0,0.0,8.0,0,27.57260274
0,F,N,Y,0.0,112500.0,Working,Higher education,Civil marriage,House / apartment,-10064.0,-3173.0,1,0.0,0.0,8.0,0,27.57260274
1,F,N,Y,0.0,112500.0,Working,Higher education,Civil marriage,House / apartment,-10064.0,-3173.0,1,0.0,0.0,8.0,0,27.57260274
X,F,N,Y,0.0,112500.0,Working,Higher education,Civil marriage,House / apartment,-10064.0,-3173.0,1,0.0,0.0,8.0,0,27.57260274
C,M,N,Y,0.0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-20531.0,-5730.0,1,0.0,0.0,4.0,0,56.24931507
X,M,N,Y,0.0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-20531.0,-5730.0,1,0.0,0.0,4.0,0,56.24931507
0,M,N,Y,0.0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-20531.0,-5730.0,1,0.0,0.0,4.0,0,56.24931507
X,M,Y,N,2.0,202500.0,Commercial associate,Higher education,Married,House / apartment,-14730.0,-2989.0,1,0.0,0.0,8.0,0,40.35616438
0,M,Y,N,2.0,202500.0,Commercial associate,Higher education,Married,House / apartment,-14730.0,-2989.0,1,0.0,0.0,8.0,0,40.35616438
0,M,Y,Y,0.0,247500.0,Working,Secondary / secondary special,Married,House / apartment,-12628.0,-4025.0,1,0.0,0.0,4.0,0,34.59726027
1,M,Y,Y,1.0,380250.0,Working,Higher education,Married,House / apartment,-12197.0,-1194.0,1,0.0,0.0,10.0,2,33.41643836
0,M,Y,Y,1.0,380250.0,Working,Higher education,Married,House / apartment,-12197.0,-1194.0,1,0.0,0.0,10.0,2,33.41643836
C,F,N,Y,1.0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13679.0,-4391.0,1,0.0,0.0,0.0,0,37.47671233
0,F,N,Y,1.0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13679.0,-4391.0,1,0.0,0.0,0.0,0,37.47671233
X,F,N,Y,1.0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13679.0,-4391.0,1,0.0,0.0,0.0,0,37.47671233
X,F,N,Y,0.0,315000.0,Working,Higher education,Separated,House / apartment,-13271.0,-555.0,1,0.0,0.0,10.0,2,36.35890411
0,F,N,Y,0.0,315000.0,Working,Higher education,Separated,House / apartment,-13271.0,-555.0,1,0.0,0.0,10.0,2,36.35890411
C,M,Y,Y,2.0,157500.0,Working,Secondary / secondary special,Married,With parents,-12859.0,-4056.0,1,0.0,0.0,4.0,0,35.23013699
0,M,Y,Y,2.0,157500.0,Working,Secondary / secondary special,Married,With parents,-12859.0,-4056.0,1,0.0,0.0,4.0,0,35.23013699
X,M,Y,Y,2.0,157500.0,Working,Secondary / secondary special,Married,With parents,-12859.0,-4056.0,1,0.0,0.0,4.0,0,35.23013699
0,M,N,Y,0.0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15321.0,-2747.0,1,0.0,0.0,16.0,2,41.97534247
C,M,N,Y,0.0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15321.0,-2747.0,1,0.0,0.0,16.0,2,41.97534247
0,F,N,Y,0.0,112500.0,Commercial associate,Higher education,Married,House / apartment,-8842.0,-312.0,1,0.0,0.0,6.0,0,24.22465753
1,F,N,Y,0.0,112500.0,Commercial associate,Higher education,Married,House / apartment,-8842.0,-312.0,1,0.0,0.0,6.0,0,24.22465753
C,F,N,N,0.0,157500.0,Commercial associate,Higher education,Separated,With parents,-15737.0,-432.0,1,0.0,0.0,3.0,0,43.11506849
0,F,N,N,0.0,157500.0,Commercial associate,Higher education,Separated,With parents,-15737.0,-432.0,1,0.0,0.0,3.0,0,43.11506849
X,F,N,N,0.0,157500.0,Commercial associate,Higher education,Separated,With parents,-15737.0,-432.0,1,0.0,0.0,3.0,0,43.11506849
C,M,N,Y,0.0,380250.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21673.0,3860.5,1,0.0,0.0,1.0,1,59.37808219
0,M,N,Y,0.0,380250.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21673.0,3860.5,1,0.0,0.0,1.0,1,59.37808219
X,M,N,Y,0.0,380250.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21673.0,3860.5,1,0.0,0.0,1.0,1,59.37808219
1,M,N,Y,0.0,380250.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21673.0,3860.5,1,0.0,0.0,1.0,1,59.37808219
C,F,N,N,0.0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9657.0,-1560.0,1,0.0,0.0,10.0,0,26.45753425
0,F,N,N,0.0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9657.0,-1560.0,1,0.0,0.0,10.0,0,26.45753425
C,M,Y,N,0.0,225000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-18289.0,3860.5,1,0.0,0.0,1.0,1,50.10684932
0,M,Y,N,0.0,225000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-18289.0,3860.5,1,0.0,0.0,1.0,1,50.10684932
1,M,Y,N,0.0,225000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-18289.0,3860.5,1,0.0,0.0,1.0,1,50.10684932
X,M,Y,N,0.0,225000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-18289.0,3860.5,1,0.0,0.0,1.0,1,50.10684932
C,M,Y,N,0.0,315000.0,Working,Higher education,Married,House / apartment,-15825.0,-3720.0,1,0.0,0.0,10.0,2,43.35616438
0,M,Y,N,0.0,315000.0,Working,Higher education,Married,House / apartment,-15825.0,-3720.0,1,0.0,0.0,10.0,2,43.35616438
1,M,Y,N,0.0,315000.0,Working,Higher education,Married,House / apartment,-15825.0,-3720.0,1,0.0,0.0,10.0,2,43.35616438
C,F,N,N,0.0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19575.0,-2901.0,1,0.0,0.0,14.0,0,53.63013699
X,F,N,N,0.0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19575.0,-2901.0,1,0.0,0.0,14.0,0,53.63013699
0,F,N,N,0.0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19575.0,-2901.0,1,0.0,0.0,14.0,0,53.63013699
1,F,N,N,0.0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19575.0,-2901.0,1,0.0,0.0,14.0,0,53.63013699
0,F,N,N,0.0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-12915.0,-3174.0,1,0.0,0.0,14.0,0,35.38356164
C,F,Y,N,0.0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22877.0,3860.5,1,0.0,0.0,1.0,1,62.67671233
0,F,Y,N,0.0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22877.0,3860.5,1,0.0,0.0,1.0,1,62.67671233
C,M,Y,N,0.0,229500.0,Working,Incomplete higher,Married,Co-op apartment,-18325.0,-1256.0,1,0.0,0.0,8.0,0,50.20547945
0,M,Y,N,0.0,229500.0,Working,Incomplete higher,Married,Co-op apartment,-18325.0,-1256.0,1,0.0,0.0,8.0,0,50.20547945
1,M,Y,N,0.0,229500.0,Working,Incomplete higher,Married,Co-op apartment,-18325.0,-1256.0,1,0.0,0.0,8.0,0,50.20547945
X,M,Y,N,0.0,229500.0,Working,Incomplete higher,Married,Co-op apartment,-18325.0,-1256.0,1,0.0,0.0,8.0,0,50.20547945
0,F,N,N,0.0,270000.0,Working,Higher education,Married,House / apartment,-17573.0,-5792.0,1,0.0,0.0,10.0,0,48.14520548
1,F,N,N,0.0,270000.0,Working,Higher education,Married,House / apartment,-17573.0,-5792.0,1,0.0,0.0,10.0,0,48.14520548
C,F,N,N,0.0,270000.0,Working,Higher education,Married,House / apartment,-17573.0,-5792.0,1,0.0,0.0,10.0,0,48.14520548
X,F,N,N,0.0,270000.0,Working,Higher education,Married,House / apartment,-17573.0,-5792.0,1,0.0,0.0,10.0,0,48.14520548
X,F,N,N,0.0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,-20953.0,-7583.5,1,0.0,0.0,0.0,2,57.40547945
